direct_io,stream_io
1846192,1421727
1872475,1918412
1677609,1470427
1770446,1379369
1993649,1344755
2142348,1433731
1840918,1704622
1965632,1565562
1900988,1362558
2093429,1345508
1933724,1667372
1940285,1681523
1964644,1468751
1985804,1288888
1913094,1746660
2158638,1347926
2106515,1298300
1911130,2382476
1941265,1749633
2243760,1390138
1898574,1341224
1811670,1346371
1802719,1713011
2075778,1456664
2004378,1687705
1925514,2029502
2192778,1825237
2064455,1669717
2187173,1399860
2017761,1705893
1875414,1753320
1925708,1769846
1896804,2064678
1768878,1312966
1912812,1408304
1954786,1565014
2195591,1364437
1939583,1734194
1653126,1328350
2006525,1519250
1899373,1581299
1913508,1348146
1835834,1893418
1732036,1299550
1939456,1361326
1934006,1576906
2003456,1661196
1742208,2197638
1966571,1433848
2010475,1360250
2170458,1383590
1989670,1111688
1821671,1701450
1888462,1454447
1940744,1691407
1809297,1708433
1740266,1373328
1858496,1759270
2102458,1362494
2312926,1349708
1938347,1930734
1926904,1728642
1757974,1319766
2285884,1250880
1706538,1349510
2057963,1353680
2149831,1349294
2261453,1347544
2185998,1971262
1709276,1388778
1984589,1525071
1932974,1671284
1952356,1968679
2378229,1727736
1958392,1443953
1888768,1353504
2083900,1356262
2002886,1609643
2085272,1646540
2285013,1381867
2039121,1355307
1889146,1654034
1678524,1385183
2509532,1562962
1889856,1301824
2247175,1384274
1931516,1317326
1848736,1388679
1919089,2101454
1939998,1691780
2022949,1362956
1999636,1387946
1915550,1696038
1960783,1342414
2160061,1329430
1911976,1696372
2177822,1355520
1893600,1773236
1933436,1528470
2181840,1458385
1918214,1785565
2139096,1300774
